central_pressurec2,central_energy_densityc2,central_baryon_density,central_cs2c2,M,R,Lambda,I,Mb
6.849787266673674316e+11,1.253867067519001562e+14,1.241982730402119219e+14,1.118231874650357262e-02,3.935039247418795627e-01,4.237351807577500949e+03,inf,1.333263656217459538e+04,3.981434284772077392e-01
6.892162937457966309e+11,1.257663953131541406e+14,1.245723262448981562e+14,1.122273334004232972e-02,3.803835529073316679e-01,4.293188592473959943e+03,inf,1.313979126344233737e+04,3.848375864990660755e-01
6.934800762000399170e+11,1.261430860012097031e+14,1.249433771737526875e+14,1.126280264770080676e-02,3.679416859186864786e-01,4.336318128293044538e+03,1.279380430887047000e+15,1.284830895942275856e+04,3.722199958444072365e-01
6.977702362094600830e+11,1.265221070566128906e+14,1.253167235800276250e+14,1.130311984098314286e-02,3.529981019403868325e-01,4.383676010419333579e+03,inf,1.244464522515806129e+04,3.570648638031393429e-01
7.020869369567299805e+11,1.269034728959982500e+14,1.256923796645137031e+14,1.134368645341427180e-02,3.365972686641151568e-01,4.429527398395433920e+03,inf,1.191539616410195231e+04,3.404320903867885661e-01
7.064303426340391846e+11,1.272871980251876406e+14,1.260703597158537344e+14,1.138450402800616698e-02,3.203895815126140967e-01,4.461463816693775698e+03,inf,1.128492687767710413e+04,3.239951093332825161e-01
7.108006184493392334e+11,1.276731784227592812e+14,1.264505601603723125e+14,1.142555894786790975e-02,3.043929430293180194e-01,4.479072740933070236e+03,4.642066603206776875e+14,1.054720699259470894e+04,3.077721828413156890e-01
7.151979306326280518e+11,1.280544863152051875e+14,1.268260920003335781e+14,1.146596493197129737e-02,2.854325258464369131e-01,4.483699177805345244e+03,3.956396996862248000e+15,9.575722575714717095e+03,2.885437168778474115e-01
7.196224464422719727e+11,1.284381531389709531e+14,1.272039470385197812e+14,1.150662088452091870e-02,2.662398313357935975e-01,4.467103991097595099e+03,5.500870790567034375e+14,8.488499869984010729e+03,2.690796072290694840e-01
7.240743341713682861e+11,1.288241934873998750e+14,1.275841396472142500e+14,1.154752835192692645e-02,2.481187438885412433e-01,4.420599262136407560e+03,7.003629000573198750e+14,7.365228777485521277e+03,2.507019863783235825e-01
7.285537631541462402e+11,1.292126220441157812e+14,1.279666842876132656e+14,1.158868889016622175e-02,2.263973923035410563e-01,4.325245256474348935e+03,inf,5.966295651879173420e+03,2.286735430706509364e-01
7.330609037724080811e+11,1.296034535835816562e+14,1.283515955103761875e+14,1.163010406484163428e-02,2.084806967534817146e-01,4.199856455066619674e+03,inf,4.779976713221399223e+03,2.105033834265043757e-01
7.375959274620095215e+11,1.299910734013258906e+14,1.287332897719261250e+14,1.167114096657646122e-02,1.891499549824252613e-01,4.003167296734061438e+03,inf,3.516801139498706107e+03,1.908993115586535838e-01
7.421590067193808594e+11,1.303794910262002031e+14,1.291157541039286250e+14,1.171225139132729513e-02,1.693421319273641645e-01,3.706591918550794617e+03,2.002821095077831750e+15,2.307183979735058983e+03,1.708109092773180404e-01
7.467503151080878906e+11,1.307703115661954844e+14,1.295005845214734375e+14,1.175361614249108635e-02,1.543128832275699469e-01,3.392311052741389176e+03,1.010020181548330600e+16,1.491763172198093798e+03,1.555692352916043519e-01
